['Абакан', '-6', '53', '742', '9']
['Адлер', '+2', '69', '764', '5']
['Алчевск', '-4', '93', '749', '5']
['Анапа', '+1', '86', '763', '2']
['Антрацит', '-3', '91', '747', '6']
['Артемовск', '-2', '91', '758', '5']
['Архангельск', '0', '100', '752', '3']
['Астрахань', '-7', '57', '777', '7']
['Барнаул', '12', '72', '752', '11']
['Белгород', '-4', '93', '748', '4']
['Бердянск', '+1', '88', '766', '4']
['Бийск', '-9', '76', '757', '7']
['Благовещенск', '-26', '72', '750', '1']
['Братск', '-16', '92', '713', '3']
['Брянск', '-2', '86', '747', '4']
['ВеликийНовгород', '+1', '94', '758', '5']
['Владивосток', '18', '78', '751', '10']
['Владикавказ', '-5', '62', '704', '1']
['Владимир', '-4', '83', '753', '5']
['Волгоград', '-8', '73', '760', '6']
['Волгодонск', '-3', '82', '765', '7']
['Волжский', '-9', '79', '774', '6']
['Волноваха', '-3', '95', '743', '5']
['Вологда', '-2', '82', '752', '4']
['Воронеж', '-5', '86', '757', '5']
['Геленджик', '+7', '83', '763', '3']
['Геническ', '+1', '75', '766', '3']
['Горловка', '-3', '92', '748', '5']
['Димитров', '-2', '94', '751', '5']
['Доброполье', '-2', '94', '751', '5']
['Донецк', '-2', '93', '748', '5']
['Дружковка', '-2', '93', '757', '5']
['Екатеринбург', '-11', '60', '749', '5']
['Енакиево', '-2', '93', '752', '5']
['ЖелезныйПорт', '+1', '80', '768', '4']
['Запорожье', '-2', '96', '757', '3']
['Златоуст', '-10', '57', '729', '6']
['Иваново', '-3', '84', '757', '4']
['Ижевск', '-14', '65', '762', '1']
['Иркутск', '-24', '83', '715', '2']
['ЙошкарОла', '-12', '82', '763', '3']
['Казань', '-16', '71', '764', '5']
['Калининград', '+6', '81', '750', '6']
['Калуга', '-3', '86', '748', '4']
['Каховка', '-1', '77', '765', '3']
['Кемерово', '-12', '85', '739', '8']
['Кирилловка', '-1', '83', '746', '3']
['Киров', '-6', '83', '756', '4']
['КомсомольскнаАмуре', '-30', '74', '766', '2']
['Константиновка', '-2', '93', '761', '5']
